Model,CV F1,Accuracy,Precision_1,Recall_1,F1_1,ROC_AUC,TN,FP,FN,TP
Tuned Gradient Boosting,0.597,0.895,0.732,0.455,0.561,0.902,370,11,36,30
Tuned Logistic Regression,0.565,0.826,0.445,0.742,0.557,0.901,320,61,17,49
Random Forest,,0.85,0.494,0.606,0.544,0.858,340,41,26,40
Logistic Regression,,0.855,0.507,0.545,0.526,0.871,346,35,30,36
Tuned Random Forest,0.591,0.861,0.531,0.515,0.523,0.879,351,30,32,34
Gradient Boosting,,0.893,0.781,0.379,0.51,0.897,374,7,41,25
Tuned Decision Tree,0.519,0.852,0.5,0.409,0.45,0.778,354,27,39,27
Decision Tree,,0.761,0.328,0.591,0.422,0.758,301,80,27,39
